_ID, TimeSt,Country,Province,City,Latitude,Longitude
4516516,2017-06-21 00:00:00.143,CA,ON,Waterloo,43.49347,-80.49123
4516771,2017-06-21 10:00:00.873,CA,ON,Sarnia,42.96100,-82.37300
4517081,2017-06-21 22:00:00.753,CA,ON,Windsor,42.24397,-82.98058
4524225,2017-06-21 22:00:06.340,CA,ON,Woodstock,43.13375,-80.74328
4524580,2017-06-21 17:00:07.133,CA,ON,Kitchener,43.42840,-80.43110
4524928,2017-06-21 01:00:04.910,CA,ON,Kitchener,43.44144,-80.50167
4524947,2017-06-21 00:00:06.163,CA,ON,Kitchener,43.43060,-80.48770
4525479,2017-06-21 10:00:14.537,CA,AB,Edmonton,53.42688,-113.47175
4525869,2017-06-21 03:00:21.503,CA,AB,Edmonton,53.61601,-113.45364
4526337,2017-06-21 18:00:21.257,CA,ON,Mississauga,43.54140,-79.68240
4526443,2017-06-21 07:00:21.727,CA,AB,Calgary,50.93982,-114.03211
4526775,2017-06-21 03:00:21.563,CA,AB,Rocky Mountain House,52.38629,-114.92294
4526865,2017-06-21 06:00:22.377,CA,ON,Mississauga,43.58120,-79.63230
4527148,2017-06-21 19:00:20.903,CA,AB,Airdrie,51.27979,-114.00324
4527443,2017-06-21 04:00:21.377,CA,ON,Brampton,43.71144,-79.76698
4527537,2017-06-21 13:00:21.667,CA,AB,Brooks,50.58495,-111.89101
4527556,2017-06-21 03:00:22.960,CA,ON,Mississauga,43.72139,-79.64403
4527720,2017-06-21 09:00:26.090,CA,ON,North York,43.75760,-79.46100
4527807,2017-06-21 09:00:25.370,CA,ON,North York,43.76164,-79.50135
4527967,2017-06-21 10:00:26.193,CA,ON,Toronto,43.67690,-79.37840
4528078,2017-06-21 16:00:28.770,CA,ON,Burlington,43.34442,-79.79248
4528166,2017-06-21 10:00:26.063,CA,AB,Calgary,50.94120,-114.11400
4528767,2017-06-21 19:00:29.483,CA,ON,Markham,43.86010,-79.33410
4529149,2017-06-21 01:00:29.693,CA,ON,Mississauga,43.56864,-79.63094
